{ 0xAF000003, 0x00000000, 0x00000006, 0x00000001 } - Sepia
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000002 } - Set Hue
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000003 } - Rotate RGB Channels
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000004 } - Jitter
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000005 } - Textile Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000006 } - Generate Textile Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000007 } - Emboss
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000008 } - Drop Light
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000009 } - Generate Marble Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x0000000A } - Generate Clouds Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x0000000B } - Apply Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x0000000C } - ? <free slot>
{ 0xAF000003, 0x00000000, 0x00000006, 0x0000000D } - Saturate
{ 0xAF000003, 0x00000000, 0x00000006, 0x0000000E } - Colorize
{ 0xAF000003, 0x00000000, 0x00000006, 0x0000000F } - Oil Painting
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000010 } - Vignetting
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000011 } - Generate Fuzzy Border Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000012 } - Fuzzy Border
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000013 } - Generate Grain Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000014 } - Grain
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000015 } - Generate Rounded Border Texture
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000016 } - Rounded Border
{ 0xAF000003, 0x00000000, 0x00000006, 0x00000017 } - Rotate Hue
