{ 0xAF000003, 0x00000000, 0x00000001, 0x00000001 } - Threshold
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000002 } - Invert
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000003 } - Grayscale
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000004 } - Levels Linear
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000005 } - Extract RGB Channel
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000006 } - Color Filter
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000007 } - Binary Erosion 3x3
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000008 } - Binary Dilatation 3x3
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000009 } - Extract nRGB Channel
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000000A } - Otsu Threshold
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000000B } - Mirror Image
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000000C } - Pixellate
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000000D } - Erosion 3x3
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000000E } - Dilatation 3x3
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000000F } - Mean 3x3
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000010 } - Contrast Stretching
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000011 } - Histogram Equalization
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000012 } - Blur 5x5
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000013 } - Edge Detector
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000014 } - Levels Linear Grayscale
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000015 } - Resize Image
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000016 } - Merge Images
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000017 } - Intersect Images
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000018 } - Diff Images
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000019 } - Gaussian Blur
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000001A } - Gaussian Sharpen
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000001B } - Erosion
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000001C } - Dilatation
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000001D } - Rotate Image 90
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000001E } -
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000001F } - Grayscale To RGB
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000020 } - Gamma Correction
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000021 } - Contrast Correction
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000022 } - Rotate Image
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000023 } - Shift Image
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000024 } - Extract Qaudrilateral
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000025 } - Embed Quadrilateral
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000026 } - Image Statistics
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000027 } - Diff Images Thresholded
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000028 } - Add Images
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000029 } - Subtract Images
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000002A } - Replace RGB Channel
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000002B } - Mask Image
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000002C } - Color Channels Filter
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000002D } - HSL Color Filter
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000002E } - HSV Color Filter
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000002F } - Distance Color Filter
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000030 } - Morphology Operator
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000031 } - Convolution
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000032 } - Hit and Miss
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000033 } - Canny Edge Detector
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000034 } - Gray World Normalization
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000035 } - Mean Shift
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000036 } - Erode Edges
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000037 } - Run Length Smoothing
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000038 } - Objects Thinning
{ 0xAF000003, 0x00000000, 0x00000001, 0x00000039 } - Objects Edges
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000003A } - Objects Thickening
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000003B } - Objects Outline
{ 0xAF000003, 0x00000000, 0x00000001, 0x0000003C } - Cut Image
