{ 0xAF000003, 0x00000000, 0x00000007, 0x00000001 } - Uniform Additive Noise
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000002 } - Salt And Pepper Noise
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000003 } - Simple Posterization
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000004 } - Grayscale Gradient Recoloring
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000005 } - Grayscale Gradient Recoloring 2
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000006 } - Grayscale Gradient Recoloring 4
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000007 } - Heat Gradient
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000008 } - Fade Images
{ 0xAF000003, 0x00000000, 0x00000007, 0x00000009 } - Move Towards Images
{ 0xAF000003, 0x00000000, 0x00000007, 0x0000000A } - ?
{ 0xAF000003, 0x00000000, 0x00000007, 0x0000000B } - Blend Images
{ 0xAF000003, 0x00000000, 0x00000007, 0x0000000C } - Put Text
{ 0xAF000003, 0x00000000, 0x00000007, 0x0000000D } - Image Drawing
