# CVSandbox modules list

{ 0xAF000001, 0x00000000, 0x00000000, 0x00000001 } - ip_stdimaging
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000002 } - fmt_jpeg
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000003 } - fmt_png
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000004 } - vs_dshow
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000005 } - vs_mjpeg
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000006 } - ip_effects
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000007 } - ip_tools
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000008 } - <>
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000009 } - vs_effects
{ 0xAF000001, 0x00000000, 0x00000000, 0x0000000A } - dev_sysinfo
{ 0xAF000001, 0x00000000, 0x00000000, 0x0000000B } - vs_ffmpeg
{ 0xAF000001, 0x00000000, 0x00000000, 0x0000000C } - vp_ffmpeg_io
{ 0xAF000001, 0x00000000, 0x00000000, 0x0000000D } - se_lua
{ 0xAF000001, 0x00000000, 0x00000000, 0x0000000E } - vp_vcam_push
{ 0xAF000001, 0x00000000, 0x00000000, 0x0000000F } - <>
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000010 } - vs_repeater
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000011 } - ip_blobs_processing
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000012 } - vs_screen_cap
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000013 } - vs_image_folder
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000014 } - dev_raspberry
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000015 } - cv_glyphs
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000016 } - cv_bar_codes
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000017 } - <>
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000018 } - dev_gamepad
{ 0xAF000001, 0x00000000, 0x00000000, 0x00000019 } - dev_com
